AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Idaho,All,2015-16,40,5.3,0,13,243,97%
State,Idaho,All,2015-16,41,4,0,10,247,98.6%
State,Idaho,All,2015-16,42,7.2,0,18,250,99.8%
State,Idaho,All,2015-16,43,6.2,0,16,258,> 100%
State,Idaho,All,2015-16,44,3.4,0,8,234,93.4%
State,Idaho,All,2015-16,45,6.2,0,16,259,> 100%
State,Idaho,All,2015-16,46,6.9,0,17,248,99%
State,Idaho,All,2015-16,47,6.8,0,18,263,> 100%
State,Idaho,All,2015-16,48,5.3,0,14,263,> 100%
State,Idaho,All,2015-16,49,6.6,1,17,272,> 100%
State,Idaho,All,2015-16,50,6.8,0,16,235,93.8%
State,Idaho,All,2015-16,51,6,0,15,251,> 100%
State,Idaho,All,2015-16,52,5.7,0,14,244,97.4%
State,Idaho,All,2015-16,1,8.5,0,23,271,> 100%
State,Idaho,All,2015-16,2,8.9,0,22,247,98.6%
State,Idaho,All,2015-16,3,5.4,0,15,276,> 100%
State,Idaho,All,2015-16,4,5.6,0,14,251,> 100%
State,Idaho,All,2015-16,5,6.4,0,18,283,> 100%
State,Idaho,All,2015-16,6,4.6,0,12,260,> 100%
State,Idaho,All,2015-16,7,6.9,1,15,233,93%
State,Idaho,All,2015-16,8,9.8,3,23,266,> 100%
State,Idaho,All,2015-16,9,5.8,1,14,259,> 100%
State,Idaho,All,2015-16,10,5.7,2,13,261,> 100%
State,Idaho,All,2015-16,11,9.1,6,20,286,> 100%
State,Idaho,All,2015-16,12,8.7,4,19,263,> 100%
State,Idaho,All,2015-16,13,9.2,3,21,262,> 100%
State,Idaho,All,2015-16,14,6.6,0,18,273,> 100%
State,Idaho,All,2015-16,15,9.3,3,20,248,99%
State,Idaho,All,2015-16,16,5.4,2,13,276,> 100%
State,Idaho,All,2015-16,17,6.5,1,15,248,99%
State,Idaho,All,2015-16,18,5,1,13,281,> 100%
State,Idaho,All,2015-16,19,1.8,0,4,227,90.6%
State,Idaho,All,2015-16,20,3.3,0,9,276,> 100%
State,Idaho,All,2015-16,21,6.3,0,17,272,> 100%
State,Idaho,All,2015-16,22,5,0,13,259,> 100%
State,Idaho,All,2015-16,23,6.7,0,18,268,> 100%
State,Idaho,All,2015-16,24,4.9,0,13,265,> 100%
State,Idaho,All,2015-16,25,6.2,0,15,241,96.2%
State,Idaho,All,2015-16,26,2.6,0,7,265,> 100%
State,Idaho,All,2015-16,27,7.4,1,17,242,96.6%
State,Idaho,All,2015-16,28,3,0,7,231,92.2%
State,Idaho,All,2015-16,29,5.7,0,14,244,97.4%
State,Idaho,All,2015-16,30,2.6,0,6,235,93.8%
State,Idaho,All,2015-16,31,3.2,0,8,252,> 100%
State,Idaho,All,2015-16,32,6.3,0,16,252,> 100%
State,Idaho,All,2015-16,33,4.3,0,11,254,> 100%
State,Idaho,All,2015-16,34,2.7,0,6,219,87.4%
State,Idaho,All,2015-16,35,3.9,0,9,233,93%
State,Idaho,All,2015-16,36,4.9,0,11,226,90.2%
State,Idaho,All,2015-16,37,7.2,0,17,235,93.8%
State,Idaho,All,2015-16,38,5,0,12,241,96.2%
State,Idaho,All,2015-16,39,4.2,0,10,238,95%
State,Idaho,All,2016-17,40,4,0,9,226,90.2%
State,Idaho,All,2016-17,41,4.1,0,11,271,> 100%
State,Idaho,All,2016-17,42,6.6,0,16,244,97.4%
State,Idaho,All,2016-17,43,5,0,13,260,> 100%
State,Idaho,All,2016-17,44,5.9,0,16,269,> 100%
State,Idaho,All,2016-17,45,3.8,0,9,239,95.4%
State,Idaho,All,2016-17,46,5.6,0,14,252,> 100%
State,Idaho,All,2016-17,47,4.3,0,11,258,> 100%
State,Idaho,All,2016-17,48,8.2,0,20,244,97.4%
State,Idaho,All,2016-17,49,3.7,1,9,270,> 100%
State,Idaho,All,2016-17,50,8.4,0,24,287,> 100%
State,Idaho,All,2016-17,51,6,4,14,301,> 100%
State,Idaho,All,2016-17,52,6,3,13,267,> 100%
State,Idaho,All,2016-17,1,7.3,3,19,300,> 100%
State,Idaho,All,2016-17,2,7.3,7,16,314,> 100%
State,Idaho,All,2016-17,3,8.2,9,17,316,> 100%
State,Idaho,All,2016-17,4,9.5,6,20,274,> 100%
State,Idaho,All,2016-17,5,10.8,4,27,288,> 100%
State,Idaho,All,2016-17,6,10.6,12,18,283,> 100%
State,Idaho,All,2016-17,7,12.9,6,30,278,> 100%
